,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,days_since_last_tx,txs_avg_amount,amount_std,avg_cashout_amount,ratio_recent_vs_past_txs,ratio_recent_vs_past_amount,ratio_cashouts,ratio_transfers,inflation_pressure,days_since_last_ss,total_ss_past30d,total_ss_past90d,avg_ss_per_wk,avg_ss_duration_min,std_ss_duration_min,ratio_ss_time_recent_vs_past,ratio_events_sessios,ratio_failed_ss,total_opened_push,Churn
4242,653,42,1,0.0,2,1,1,5768.32,9,153759.29567567568,184575.3965105904,218171.55857142856,-0.0281708769666962,0.6061069017310107,-1.55814461804655,-1.845826690498331,0.0298846900803817,8,3,17,1.3,12.295479728664017,11.097818338031509,-0.6642618745645582,-1.5040773967762742,-2.602689685444384,2,0
12659,692,30,4,147171.96161680057,1,1,0,64840.00600017068,1,96983.47734816224,112670.02680662555,103953.11212576006,0.03522478654809341,-0.20836140824774158,-1.3171460232407997,-2.174584659908549,0.05102635049595903,3,2,9,0.8825947782574756,14.225973728703583,10.137720015174235,0.43510876214041405,-1.675725066561093,-2.468996847801503,4,1
6602,611,68,5,82547.11,2,1,1,146448.01,1,262902.90233905584,642930.6807494654,231289.29355731225,0.0088889474172459,-0.1864142667442683,-0.6089949906503608,-2.8504923916645684,0.0471125926162164,3,12,23,1.9230769230769231,28.52437583098971,28.323395279931223,0.8183901370193853,-0.5645298027378518,-3.9318256327243257,19,0
4088,632,30,1,58668.02,1,1,1,78670.52,2,180259.1822641509,322937.35207809776,110697.6107692308,0.0372713947972316,0.4152717252735258,-1.349926716949016,-1.791759469228055,0.0554160577793124,6,1,4,0.4210526315789473,11.118832433833298,8.772610265225174,-0.240668539096994,-2.19722457733622,-1.5040773967762742,2,0
14306,585,34,4,121698.0418435881,1,1,0,73962.9193421823,5,565025.7733201014,3067852.352901331,166090.25309601333,-0.012714558460147823,-0.1945415530848731,-1.06888988897836,-2.306751503118581,0.10707241181029213,20,1,8,0.9256929775622935,17.15065684858071,14.118153557846952,-0.30055231352058587,-1.2479213770431887,-2.612089011003448,0,1
8828,664,34,7,93920.47,1,0,0,179913.98,1,135478.2583027523,204950.4316465084,140307.3055172414,0.0082304991365154,0.1214096649065016,-0.9117349153382944,-2.61648300757672,0.0165844481807807,4,7,27,1.7307692307692308,23.905479359817917,18.22610255281375,-0.6409930386910937,-1.120591195386885,-2.730029107820985,8,0
13116,554,38,6,0.0,1,0,0,36867.108656057564,1,121524.74982819421,194783.66313839058,107815.410406119,-0.016954080000456995,-0.06865329875497675,-1.1916986092794473,-2.192714067980534,0.06111228908738294,29,0,3,0.5365907661937421,9.353552079488864,3.918897722003873,-0.10977944024376071,-1.5212446873746959,-2.5649493574615367,0,1
13020,636,44,6,157080.9110902985,2,1,0,46008.49190452339,1,264905.7301034383,580432.9198838987,236301.87503932236,-0.06450329210401745,-0.2962371079886823,-0.6491252612316322,-3.106725535320424,0.053031279819092475,22,4,22,2.1264287185212694,33.731995934554426,36.94647159322143,-1.4042109036426615,-0.37107453560992876,-3.8680606558496717,18,1
6165,489,47,8,103894.38,2,1,1,107625.46,1,289743.6991389432,930560.210629274,229608.32261208576,0.0520211847508784,0.0267246563614677,-0.6882715004964614,-2.9602028523995045,0.0473427234385648,2,19,38,3.1538461538461537,27.089708084139517,25.238378656268434,0.4252637936865849,-0.4675968892151705,-4.418840607796598,27,0
2425,837,26,4,89900.24,2,1,0,175477.03,1,274834.7493913043,1100377.1406111,136416.54390243904,-0.0618754037180874,-1.2786015690911383,-1.0159205728229963,-2.5563656137701454,0.0401739759645779,2,2,18,1.3461538461538465,20.53751519553441,19.867846904118835,-1.0886606001585422,-0.8754687373538999,-2.890371757896165,8,0
5830,850,40,4,97990.49,2,0,0,106691.02,4,204377.597962963,271278.2028850071,131333.1832,-0.0500104205746614,0.1108782944616167,-0.7492366472109889,-1.6094379124341005,0.0288271956952918,3,3,6,0.7307692307692307,18.49049402717756,10.652878590299869,0.0701081725372323,-0.7985076962177716,-2.995732273553991,4,0
1906,639,43,6,99610.92,2,1,0,187296.78,1,242778.7546242038,344537.6253489826,231452.0366033254,0.0323082432326578,0.1053818415027511,-0.6219514783931948,-2.9780773383152703,0.0196683510811028,3,11,28,2.68,31.60336139837728,37.36429884098106,0.5478994540561247,-0.3074846997479605,-4.219507705176107,22,0
329,630,34,9,106937.05,2,1,0,138275.01,2,114450.7264495114,189471.40608562765,130359.94418604652,0.0359320092260631,-0.4977106159845206,-1.2641916643189908,-2.734367509419584,0.0590669407145559,7,4,12,1.0,21.251248254878615,23.677457246186226,-0.5797761008451217,-0.5389965007326869,-2.4849066497880004,3,0
7958,548,36,2,108913.84,2,1,1,140460.01,2,115257.765,129710.00726338071,166382.4277272727,0.0392207131532813,0.8729575445388394,-0.8718389693033213,-3.3141860046725258,0.0238526748213309,14,4,14,1.32,20.89017439061794,15.919764285014674,0.1645998391033304,-1.7346010553881064,-3.5263605246161616,6,0
6180,637,39,3,109698.41,1,1,1,88391.29,7,233136.56644444444,451518.9062809071,189501.02666666667,0.0892311337279426,-0.1217070781015852,-1.0560526742493137,-2.03688192726104,0.051368150200109,8,1,14,1.0416666666666667,27.45190135360127,25.995046113271982,-1.4596052283831529,-0.7731898882334817,-2.5649493574615367,3,1
828,435,36,4,0.0,1,1,1,197015.2,1,137466.54525000002,245090.33483980928,137115.6961111111,-0.0342890734786321,-0.0918239941109927,-1.4500101755059984,-2.091864061678393,0.0205131356616038,1,8,18,1.4,27.78896173499452,30.05856070438179,0.4910563583999595,-1.2809338454620642,-2.890371757896165,5,0
12749,810,43,1,105648.19629805486,1,1,0,36903.20425283803,8,226726.79896289378,408545.41677934927,102707.89613460419,0.003136970015058776,-0.8375496886960547,-1.3667628819267164,-1.4170405632148575,0.12152425223323719,30,0,8,0.7752247487975275,21.811333106827245,22.026653980053663,-0.9719544554607035,-1.0362688854564812,-2.828028354684536,3,1
4381,650,32,1,132187.73,2,1,1,178331.36,9,102496.8441935484,147171.1786897847,99190.55857142856,0.0298529631496811,1.3060454120769986,-1.3862943611198906,-2.367123614131617,0.0066756755915656,15,1,12,0.8695652173913043,18.472864691788025,20.5557798595865,-1.6017714920793762,-0.8472978603872037,-2.3513752571634776,3,0
14838,673,55,4,128673.73523876561,1,1,0,183587.23491900528,2,301283.9617418725,692398.7260641283,254334.2903873102,-0.0147667188373244,-0.751137981359181,-0.6848201263042187,-2.4690805094852357,0.02981980049839811,13,2,28,2.695103310316514,33.896129089094444,33.1447902355394,-1.9712274115504154,-0.579901263604262,-4.189993328779767,19,1
10103,682,32,6,88506.54249349496,1,0,0,139243.66264478158,7,140696.0046601537,183840.436617882,159085.99360454406,0.02639929301706133,0.3451638057586164,-1.0737673614954764,-2.0977568361514773,0.03277748966576825,29,0,9,1.1356830187103648,12.49572836998476,9.865405501704778,-0.9499842819672322,-1.4040651489901959,-3.190223900479925,1,1
157,721,36,2,0.0,2,1,1,106977.8,2,111084.389,146668.78589387948,202237.2807142857,0.202026627873287,0.8267577901365208,-1.0055218656020977,-2.327277705584417,0.0655613870021345,16,5,15,1.2173913043478262,10.137013452729017,5.738704956166436,-0.0931111059589553,-1.575536360758419,-3.367295829986474,8,0
439,509,25,3,108738.71,2,1,0,106920.57,2,177835.07355769232,346113.3967114128,149643.69702702702,0.0100503358535015,0.5266089626279131,-1.0163741904311376,-2.3513752571634776,0.0353740461705583,12,5,9,0.84,18.027333734313476,15.446360730208095,0.1131966630714338,-1.1451323043030026,-2.3978952727983707,3,0
13525,580,39,2,46245.87604583328,1,0,1,176297.0850940621,22,162221.32911098795,256539.4127199269,98823.35165771682,0.017080592538433817,-1.153114007851569,-1.5457864997954314,-1.6008083281306766,0.026908260671309497,36,0,4,0.7254886258288944,14.706624234174999,8.712273031019807,-0.15550606228798713,-1.1593327949517238,-2.069978121926255,1,1
8506,688,32,6,124179.3,1,1,1,138759.15,2,182190.99363636365,343446.522842657,173315.5938888889,0.0944908434209223,0.5165009233402291,-1.1046546031240725,-2.167548809190103,0.0340697208384732,22,3,16,1.3636363636363635,17.74611723263752,11.085147737142549,-0.5154044399525015,-1.2367626271489267,-2.3353749158170367,7,0
8590,608,34,4,88772.87,1,1,1,168822.01,1,117553.66843537416,194868.1982941976,132537.35367346942,0.150060694575733,0.3484284509990412,-1.085189268335969,-2.694627180770069,0.0206930998492218,10,2,7,0.6521739130434783,10.901211871912317,6.350430213900262,-0.3016723717320579,-2.772588722239781,-2.079441541679836,3,0
11955,500,44,5,20193.68459251868,1,1,0,143554.40632686386,4,551227.0836776894,3072438.776852189,161116.27361062513,0.04529522464672564,0.6496998549769708,-0.9902385410861019,-2.1340553379457132,0.055749467591612846,13,2,6,0.7176858315946314,19.81422487263062,19.932524694439508,0.09607175608941568,-1.736463731561863,-2.7686120734579895,4,1
14825,589,57,8,118765.38050611706,2,0,0,57911.99819048855,1,117240.84409753686,189406.25238110934,137244.34614060653,0.08932683282215939,0.6985974431969874,-1.257938815621452,-2.531802465659776,0.030448392295761878,11,0,4,0.8929013844368111,14.241166525661953,11.346461077561793,-0.1652937550866812,-0.9197249239536603,-3.0801445779020384,2,1
6216,685,33,6,0.0,2,0,1,186785.01,3,163434.982734375,289371.5997211565,173422.46862745096,-0.0194180858571016,-0.1819740683617688,-0.9085686857802447,-2.5572273113676265,0.0281959683517951,11,6,18,1.6,19.66081148522928,16.302064911972007,0.2965870729200823,-1.148622709242771,-3.0204248861443626,7,0
8395,744,29,1,43504.42,1,1,1,119327.75,1,90816.50625,102121.1388506565,194418.496,0.074107972153722,0.8921972709018265,-1.041453874828161,-2.833213344056216,0.0618849057089472,18,3,10,0.8695652173913043,13.41964574805362,9.202502065165604,-0.3986378480584988,-1.0986122886681098,-3.044522437723423,4,0
6399,850,42,3,0.0,2,1,1,176883.42,1,210892.31313725488,724213.0949963067,116942.54772727276,0.1226023220923324,-0.4333955690147673,-1.499234772300486,-2.069779630768099,0.0274210869499034,5,3,11,0.6538461538461539,18.2922777690313,18.38522237610541,-0.7001681015723393,-1.5040773967762742,-2.890371757896165,2,0
9492,632,46,4,132490.5883193265,1,0,0,40527.06152586286,3,136553.7109694249,197711.1189017356,165264.72211341446,0.05243761295781374,-0.0880180006213222,-0.9417994229694098,-2.451677465375363,0.06305536123382592,13,2,7,0.7241945344133438,28.89395067780763,37.62456200546433,-0.1188254099232448,-1.0252646427407348,-1.891016244100325,3,1
14980,669,48,4,0.0,3,0,0,104821.91192101433,1,232173.6806782943,367510.9490251907,234036.4510386906,-0.12941284232757813,-0.3411498675292857,-0.6802773994790892,-3.049153047009411,0.04428935543492088,19,4,19,1.8653104873290054,28.899087977242292,23.587183989528175,-0.23265008603567341,-0.6160511314649576,-3.751545347394107,14,1
14737,639,45,3,91752.67637488412,1,0,0,161139.2299242003,6,156138.68396600155,187908.868678415,139820.0382102255,-0.030537980852659456,-0.324569907633552,-0.8066748892402313,-2.531744380397858,0.04730194057668036,52,0,5,1.0092372093675444,21.573275591566397,23.57174736410622,-1.0607753669755935,-1.2169016468180152,-1.5045837192697962,2,1
12525,512,48,3,81815.06396699726,2,1,0,83046.69050236205,28,87318.96746963552,126261.61269086425,98871.96630661344,0.0211407231398497,-1.6778510186951596,-1.3294155996630137,-1.9878865790723033,0.1910672786098998,12,1,5,0.6222587826040715,19.110041578321407,18.220916214814768,-0.30615562958625236,-1.7934305196663147,-2.28864365462408,1,1
12622,601,49,2,0.0,1,0,0,75228.65956805165,4,146150.47514415893,228460.57657282252,142175.11832317343,-0.06043696680997884,-0.22871644781715134,-1.0283683677661395,-1.8778108952015313,0.03617368655653878,16,0,2,0.3640227179398984,9.704480221188797,4.131964318254985,0.008181959021992341,-1.280207208545056,-2.2092817228994046,1,1
7928,607,48,4,112070.86,3,1,0,173568.3,5,232022.98378378377,284971.6945920468,239692.75752212387,-0.1910552367627092,-0.6564238017920031,-0.6709733230656232,-3.009276498661748,0.0253420484354335,3,5,11,1.7692307692307692,18.76403919386113,13.270327408469145,0.4425250082840337,-0.384411698910332,-3.157000421150113,16,1
12708,661,23,6,135050.59108358884,1,0,0,170785.29666005197,1,195210.66821041043,458382.2179943692,176430.55458594472,0.133237099005107,0.1024859604906645,-0.8948576548192643,-2.2410919275480174,0.03528812273208787,11,2,7,1.216808339330361,24.683839089098843,31.90937307585058,-0.8659795842539926,-1.249399301253538,-2.3844292955545474,5,1
11251,666,32,6,0.0,1,0,0,49546.27686452156,1,158582.5595263906,482391.341136074,128047.24648153225,-0.06520723107427208,-0.16763071057312107,-1.1526707135368524,-2.0688560860185516,0.0708220831588509,26,0,2,0.43534623061492317,7.9961957195248905,4.170207214414148,0.011123789513474036,-1.9677511406097872,-2.3600385717588472,0,1
7889,556,31,1,128663.81,2,1,0,125083.29,5,90281.2112121212,98197.58315051923,198734.6633333333,-0.0870113769896296,-0.3383989647282573,-1.580450375560848,-2.833213344056216,0.0417142765713876,1,2,8,0.7307692307692307,20.58062491061765,22.5024273861126,-0.2355343006788625,-1.0498221244986778,-1.8971199848858813,2,0
10794,609,39,7,0.0,1,1,0,141888.3636281572,2,121190.28678535523,211843.6782727408,134399.94408217949,-0.10490966741530414,-0.46067684101246814,-1.2533982424265617,-2.391781494380563,0.05217969592147943,1,2,8,0.8924913708625644,16.625939020919382,15.996800896779456,-0.1026810932067217,-1.9058334124682128,-2.2458909588314016,3,1
4065,779,32,10,80728.15,1,1,0,86306.75,2,132739.46648351647,253241.2718595172,169708.89323809528,0.1349754361967562,0.1788084667461425,-1.2364582594704243,-2.498699971920336,0.0389613564988799,5,4,13,1.24,11.483310028449196,7.5376833045927025,-0.473229824171325,-0.9808292530117262,-2.772588722239781,8,0
11617,682,49,4,0.0,1,1,0,22038.82866571067,7,162382.52716047168,223532.387019028,187761.89895352873,-0.12508972615778194,-0.4064637906693302,-1.2210839773652686,-2.019593450004137,0.07159070558993783,9,1,7,0.8324365059889102,12.285814917060938,6.9483666502554415,-0.6402931010184858,-1.6699203974807242,-2.9613527390463217,4,1
4777,767,23,2,139542.82,1,0,1,28038.28,3,128651.65276923076,216137.1915469537,120354.98428571428,-0.041672696400568,-0.6886141564344158,-1.1139972075075892,-2.2361399935858928,0.0874472132521191,2,3,5,0.3809523809523809,7.223895811867395,3.783991168948182,0.1503205019109075,-1.5040773967762742,-2.19722457733622,0,0
8554,671,31,6,105864.6,2,1,0,145567.34,3,139745.75612903226,310216.16945980256,140398.5075,0.1914540403572272,0.4894995709745917,-1.1202347526812753,-2.66615925939305,0.041034575547998,55,0,7,1.263157894736842,20.57719518363617,19.66231077056796,-1.115591954148565,-2.120263536200091,-3.218875824868201,4,0
10660,688,40,5,0.0,1,1,0,117783.97626132576,11,143448.77453503944,215750.87851405208,155636.67217156745,-0.07738835281410573,-0.40021818953609695,-1.2386945873804582,-2.2070487444011273,0.05374712786832189,26,1,7,0.924226174601628,16.887067519503315,13.734591798350742,-0.2918838396041057,-2.0484335593602894,-2.456781610955795,3,1
7301,543,41,6,143350.41,1,1,1,192070.16,2,265442.6748888889,428573.8129373816,232947.045620915,0.0859424298007246,0.1971344935124313,-0.718789611173283,-2.5368663887187117,0.0175804149546969,2,9,25,2.1153846153846154,28.33925709296301,32.62528362575845,0.2702356974736852,-0.6580558607486751,-4.02535169073515,16,1
7478,567,54,5,92316.31,2,1,0,158590.66,1,323229.238778626,819874.4655836447,241562.57893617015,0.0896121586896869,0.8231196001945373,-0.6163269745765039,-2.627715053011324,0.0301450504128386,5,5,12,1.7307692307692308,25.165107399954557,26.690652808018854,0.2389194774217083,-0.995428052432879,-3.1354942159291497,18,1
